"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"29","Afghanistan",2020-04-10,80,521,37,15,0,32,0,474,1.3,0.1,1.2,15,5
"59","Albania",2020-04-10,80,416,7,23,0,182,17,211,14.5,0.2,7.3,19,14
"81","Algeria",2020-04-10,80,1761,95,256,21,405,58,1100,4,0.2,2.5,21,22
"133","Andorra",2020-04-10,80,601,18,26,1,71,13,504,780.5,23.4,654.5,20,11
"177","Angola",2020-04-10,80,19,0,2,0,2,0,15,0.1,0,0,0,0
"197","Antigua and Barbuda",2020-04-10,80,19,0,2,0,0,0,17,19.4,0,17.3,0,0
"221","Argentina",2020-04-10,80,1975,180,82,10,375,10,1518,4.4,0.4,3.4,22,15
"278","Armenia",2020-04-10,80,937,16,12,2,149,11,776,31.6,0.5,26.2,23,2
"350","Australia",2020-04-10,80,6215,107,54,3,1793,321,4368,24.4,0.4,17.1,32,16
"383","Austria",2020-04-10,80,13555,311,319,24,6064,824,7172,150.5,3.5,79.6,34,20
"429","Azerbaijan",2020-04-10,80,991,65,10,1,159,58,822,9.8,0.6,8.1,16,1
"478","Bahrain",2020-04-10,80,925,38,6,1,539,20,380,54.3,2.2,22.3,32,0
"535","Bangladesh",2020-04-10,80,424,94,27,6,33,0,364,0.3,0.1,0.2,5,5
"561","Barbados",2020-04-10,80,67,1,4,1,11,0,52,23.3,0.3,18.1,0,0
"597","Belarus",2020-04-10,80,1981,495,19,3,169,30,1793,21,5.2,19,12,5
"670","Belgium",2020-04-10,80,26667,1684,3019,496,5568,404,18080,230.1,14.5,156,36,25
"678","Belize",2020-04-10,80,10,1,2,1,0,0,8,2.5,0.3,2,0,0
"704","Benin",2020-04-10,80,35,9,1,0,5,0,29,0.3,0.1,0.2,0,0
"741","Bhutan",2020-04-10,80,5,0,0,0,2,0,3,0.6,0,0.4,0,0
"767","Bolivia",2020-04-10,80,268,4,19,1,2,0,247,2.3,0,2.1,11,7
"818","Bosnia and Herzegovina",2020-04-10,80,901,43,36,1,129,28,736,27.5,1.3,22.4,20,12
"834","Botswana",2020-04-10,80,13,0,1,0,0,0,12,0.6,0,0.5,0,0
"850","Brazil",2020-04-10,80,19638,1546,1057,107,173,0,18408,9.2,0.7,8.7,29,22
"904","Brunei",2020-04-10,80,136,1,1,0,99,7,36,31.1,0.2,8.2,18,0
"931","Bulgaria",2020-04-10,80,635,17,25,1,54,6,556,9.1,0.2,8,22,10
"976","Burkina Faso",2020-04-10,80,443,0,24,0,146,0,273,2.1,0,1.3,18,14
"982","Burma",2020-04-10,80,27,4,3,0,2,0,22,0,0,0,0,0
"998","Burundi",2020-04-10,80,3,0,0,0,0,0,3,0,0,0,0,0
"1059","Cambodia",2020-04-10,80,119,0,0,0,72,10,47,0.7,0,0.3,13,0
"1094","Cameroon",2020-04-10,80,820,90,12,2,98,38,710,3.1,0.3,2.7,13,3
"1127","Canada",2020-04-10,80,22059,1405,557,54,5855,693,15647,58.4,3.7,41.5,31,22
"1203","Cape Verde",2020-04-10,80,7,0,1,0,1,0,5,1.3,0,0.9,0,0
"1229","Central African Republic",2020-04-10,80,8,0,0,0,0,0,8,0.2,0,0.2,0,0
"1251","Chad",2020-04-10,80,11,0,0,0,2,0,9,0.1,0,0.1,0,0
"1288","Chile",2020-04-10,80,6501,529,65,8,1571,297,4865,34,2.8,25.4,26,11
"1319","Colombia",2020-04-10,80,2473,250,80,11,197,23,2196,4.9,0.5,4.3,23,13
"1352","Costa Rica",2020-04-10,80,558,19,3,0,42,12,513,11,0.4,10.1,21,0
"1395","Cote d'Ivoire",2020-04-10,80,444,0,3,0,52,0,389,1.7,0,1.5,15,0
"1412","Croatia",2020-04-10,80,1495,88,21,1,231,12,1243,36.4,2.1,30.3,23,7
"1475","Cuba",2020-04-10,80,564,49,15,0,51,23,498,5,0.4,4.4,14,4
"1501","Cyprus",2020-04-10,80,595,31,10,0,58,5,527,49.3,2.6,43.7,19,5
"1526","Czech Republic",2020-04-10,80,5732,163,119,7,346,45,5267,53.5,1.5,49.2,29,14
"1587","Democratic Republic of the Congo",2020-04-10,80,215,35,20,2,13,4,182,0.2,0,0.2,10,9
"1625","Denmark",2020-04-10,80,6014,184,247,10,1929,46,3838,103.8,3.2,66.3,32,21
"1635","Diamond Princess Cruise Ship",2020-04-10,80,712,0,11,0,619,0,82,NA,NA,NA,61,18
"1700","Djibouti",2020-04-10,80,150,15,1,1,36,11,113,15.2,1.5,11.4,3,0
"1727","Dominica",2020-04-10,80,16,1,0,0,5,4,11,22.2,1.4,15.3,0,0
"1756","Dominican Republic",2020-04-10,80,2620,271,126,8,98,18,2396,24.2,2.5,22.1,21,17
"1807","Ecuador",2020-04-10,80,7161,2196,297,25,368,29,6496,40.6,12.4,36.8,24,20
"1864","Egypt",2020-04-10,80,1794,95,135,17,384,36,1275,1.8,0.1,1.2,28,21
"1884","El Salvador",2020-04-10,80,117,14,6,0,15,1,96,1.8,0.2,1.5,2,0
"1923","Equatorial Guinea",2020-04-10,80,18,0,0,0,3,0,15,1.3,0,1.1,0,0
"1935","Eritrea",2020-04-10,80,34,1,0,0,0,0,34,1,0,1,0,0
"1969","Estonia",2020-04-10,80,1258,51,24,0,93,10,1141,94.8,3.8,86,28,9
