"","word","polaridade","tipo","sentimento"
"1","",-1,"adjetivo","negativo"
"2","",-1,"adjetivo","negativo"
"3","",-1,"adjetivo","negativo"
"4","aborrecente]",-1,"adjetivo","negativo"
"5","anacrônico]",-1,"adjetivo","negativo"
"6","besta]",-1,"adjetivo","negativo"
"7","bizarro]",-1,"adjetivo","negativo"
"8","bobo]",-1,"adjetivo","negativo"
"9","burro]",-1,"adjetivo","negativo"
"10","cansativo]",-1,"adjetivo","negativo"
"11","chato]",-1,"adjetivo","negativo"
"12","chocante]",-1,"adjetivo","negativo"
"13","chulo]",-1,"adjetivo","negativo"
"14","clichê]",-1,"adjetivo","negativo"
"15","confuso]",-1,"adjetivo","negativo"
"16","decepcionante]",-1,"adjetivo","negativo"
"17","defeituoso]",-1,"adjetivo","negativo"
"18","deplorável]",-1,"adjetivo","negativo"
"19","depressivo]",-1,"adjetivo","negativo"
"20","deprimente]",-1,"adjetivo","negativo"
"21","desagradável]",-1,"adjetivo","negativo"
"22","desconexo]",-1,"adjetivo","negativo"
"23","desgastante]",-1,"adjetivo","negativo"
"24","desinteressante]",-1,"adjetivo","negativo"
"25","desnecessário]",-1,"adjetivo","negativo"
"26","desprezível]",-1,"adjetivo","negativo"
"27","difícil]",-1,"adjetivo","negativo"
"28","dispensável]",-1,"adjetivo","negativo"
"29","doentio]",-1,"adjetivo","negativo"
"30","egoísta]",-1,"adjetivo","negativo"
"31","enfadonho]",-1,"adjetivo","negativo"
"32","enjoado]",-1,"adjetivo","negativo"
"33","enjoativo]",-1,"adjetivo","negativo"
"34","entediante]",-1,"adjetivo","negativo"
"35","esdrúxulo]",-1,"adjetivo","negativo"
"36","estático]",-1,"adjetivo","negativo"
"37","estereotipado]",-1,"adjetivo","negativo"
"38","estranho]",-1,"adjetivo","negativo"
"39","falso]",-1,"adjetivo","negativo"
"40","fraco]",-1,"adjetivo","negativo"
"41","frio]",-1,"adjetivo","negativo"
"42","frustrante]",-1,"adjetivo","negativo"
"43","fútil]",-1,"adjetivo","negativo"
"44","horrível]",-1,"adjetivo","negativo"
"45","horroroza]",-1,"adjetivo","negativo"
"46","idêntico]",-1,"adjetivo","negativo"
"47","idiota]",-1,"adjetivo","negativo"
"48","idiotice]",-1,"adjetivo","negativo"
"49","imaturo]",-1,"adjetivo","negativo"
"50","impaciente]",-1,"adjetivo","negativo"
"51","incompreensível]",-1,"adjetivo","negativo"
"52","inconsistente]",-1,"adjetivo","negativo"
"53","ingênuo]",-1,"adjetivo","negativo"
"54","injustificável]",-1,"adjetivo","negativo"
"55","insuportável]",-1,"adjetivo","negativo"
"56","interminável]",-1,"adjetivo","negativo"
"57","inútil]",-1,"adjetivo","negativo"
"58","irritante]",-1,"adjetivo","negativo"
"59","lamentável]",-1,"adjetivo","negativo"
"60","lento]",-1,"adjetivo","negativo"
"61","linear]",-1,"adjetivo","negativo"
"62","maçante]",-1,"adjetivo","negativo"
"63","machista]",-1,"adjetivo","negativo"
"64","mal]",-1,"adjetivo","negativo"
"65","manjado]",-1,"adjetivo","negativo"
"66","mau]",-1,"adjetivo","negativo"
"67","mediano]",-1,"adjetivo","negativo"
"68","médio]",-1,"adjetivo","negativo"
"69","meloso]",-1,"adjetivo","negativo"
"70","mero]",-1,"adjetivo","negativo"
"71","modinha]",-1,"adjetivo","negativo"
"72","monótono]",-1,"adjetivo","negativo"
"73","morno]",-1,"adjetivo","negativo"
"74","negativo]",-1,"adjetivo","negativo"
"75","normal]",-1,"adjetivo","negativo"
"76","obsessivo]",-1,"adjetivo","negativo"
"77","óbvio]",-1,"adjetivo","negativo"
"78","óbvio]",-1,"adjetivo","negativo"
"79","oco]",-1,"adjetivo","negativo"
"80","opressivo]",-1,"adjetivo","negativo"
"81","paranóico]",-1,"adjetivo","negativo"
"82","patético]",-1,"adjetivo","negativo"
"83","pesaroso]",-1,"adjetivo","negativo"
"84","péssimo]",-1,"adjetivo","negativo"
"85","piegas]",-1,"adjetivo","negativo"
"86","piorar]",-1,"adjetivo","negativo"
"87","plana]",-1,"adjetivo","negativo"
"88","pobre]",-1,"adjetivo","negativo"
"89","pomposo]",-1,"adjetivo","negativo"
"90","preguiçoso]",-1,"adjetivo","negativo"
"91","previsível]",-1,"adjetivo","negativo"
"92","puritano]",-1,"adjetivo","negativo"
"93","raso]",-1,"adjetivo","negativo"
"94","razoável]",-1,"adjetivo","negativo"
"95","reacionário]",-1,"adjetivo","negativo"
"96","repetitivo]",-1,"adjetivo","negativo"
"97","repulsivo]",-1,"adjetivo","negativo"
"98","revoltante]",-1,"adjetivo","negativo"
"99","ridículo]",-1,"adjetivo","negativo"
"100","ruim]",-1,"adjetivo","negativo"
"101","simplista]",-1,"adjetivo","negativo"
"102","sofrível]",-1,"adjetivo","negativo"
"103","superficial]",-1,"adjetivo","negativo"
"104","surreal]",-1,"adjetivo","negativo"
"105","tédio]",-1,"adjetivo","negativo"
