"","global_level","date","cases","new_cases","deaths","new_deaths","days_since_death10","days_since_case100"
"1","Global",2020-01-22,555,555,17,17,1,1
"2","Global",2020-01-23,654,99,18,1,2,2
"3","Global",2020-01-24,941,287,26,8,3,3
"4","Global",2020-01-25,1434,493,42,16,4,4
"5","Global",2020-01-26,2118,684,56,14,5,5
"6","Global",2020-01-27,2927,809,82,26,6,6
"7","Global",2020-01-28,5578,2651,131,49,7,7
"8","Global",2020-01-29,6167,589,133,2,8,8
"9","Global",2020-01-30,8235,2068,171,38,9,9
"10","Global",2020-01-31,9927,1692,213,42,10,10
"11","Global",2020-02-01,12038,2111,259,46,11,11
"12","Global",2020-02-02,16787,4749,362,103,12,12
"13","Global",2020-02-03,19887,3100,426,64,13,13
"14","Global",2020-02-04,23898,4011,492,66,14,14
"15","Global",2020-02-05,27643,3745,564,72,15,15
"16","Global",2020-02-06,30803,3160,634,70,16,16
"17","Global",2020-02-07,34396,3593,719,85,17,17
"18","Global",2020-02-08,37130,2734,806,87,18,18
"19","Global",2020-02-09,40160,3030,906,100,19,19
"20","Global",2020-02-10,42769,2609,1013,107,20,20
"21","Global",2020-02-11,44811,2042,1113,100,21,21
"22","Global",2020-02-12,45229,418,1118,5,22,22
"23","Global",2020-02-13,60382,15153,1371,253,23,23
"24","Global",2020-02-14,66909,6527,1523,152,24,24
"25","Global",2020-02-15,69051,2142,1666,143,25,25
"26","Global",2020-02-16,71235,2184,1770,104,26,26
"27","Global",2020-02-17,73270,2035,1868,98,27,27
"28","Global",2020-02-18,75152,1882,2008,140,28,28
"29","Global",2020-02-19,75652,500,2123,115,29,29
"30","Global",2020-02-20,76212,560,2248,125,30,30
"31","Global",2020-02-21,76841,629,2252,4,31,31
"32","Global",2020-02-22,78602,1761,2459,207,32,32
"33","Global",2020-02-23,78982,380,2470,11,33,33
"34","Global",2020-02-24,79546,564,2630,160,34,34
"35","Global",2020-02-25,80399,853,2710,80,35,35
"36","Global",2020-02-26,81376,977,2771,61,36,36
"37","Global",2020-02-27,82736,1360,2814,43,37,37
"38","Global",2020-02-28,84121,1385,2873,59,38,38
"39","Global",2020-02-29,86014,1893,2942,69,39,39
"40","Global",2020-03-01,88397,2383,2996,54,40,40
"41","Global",2020-03-02,90375,1978,3085,89,41,41
"42","Global",2020-03-03,92959,2584,3160,75,42,42
"43","Global",2020-03-04,95276,2317,3255,95,43,43
"44","Global",2020-03-05,98040,2764,3348,93,44,44
"45","Global",2020-03-06,102040,4000,3460,112,45,45
"46","Global",2020-03-07,106102,4062,3559,99,46,46
"47","Global",2020-03-08,110062,3960,3803,244,47,47
"48","Global",2020-03-09,114025,3963,3987,184,48,48
"49","Global",2020-03-10,119036,5011,4267,280,49,49
"50","Global",2020-03-11,126717,7681,4611,344,50,50
"51","Global",2020-03-12,132506,5789,4917,306,51,51
"52","Global",2020-03-13,146887,14381,5414,497,52,52
"53","Global",2020-03-14,157965,11078,5834,420,53,53
"54","Global",2020-03-15,169258,11293,6475,641,54,54
"55","Global",2020-03-16,184002,14744,7153,683,55,55
"56","Global",2020-03-17,199933,15931,7964,811,56,56
"57","Global",2020-03-18,219466,19533,8867,903,57,57
"58","Global",2020-03-19,246622,27156,9980,1115,58,58
"59","Global",2020-03-20,277257,30635,11461,1482,59,59
"60","Global",2020-03-21,309226,31969,13181,1724,60,60
"61","Global",2020-03-22,343487,34261,14855,1675,61,61
"62","Global",2020-03-23,386860,43373,16797,1942,62,62
"63","Global",2020-03-24,428360,41515,19081,2284,63,63
"64","Global",2020-03-25,479379,51019,21881,2800,64,64
"65","Global",2020-03-26,542071,62692,24901,3023,65,65
"66","Global",2020-03-27,607102,65031,28394,3493,66,66
"67","Global",2020-03-28,674494,67392,32107,3713,67,67
"68","Global",2020-03-29,733841,59347,35584,3477,68,68
"69","Global",2020-03-30,799125,65284,39636,4052,69,69
"70","Global",2020-03-31,875928,76803,44388,4752,70,70
"71","Global",2020-04-01,952493,76565,49894,5506,71,71
"72","Global",2020-04-02,1033847,81354,56131,6237,72,72
"73","Global",2020-04-03,1117073,83226,62237,6106,73,73
"74","Global",2020-04-04,1197429,80356,68404,6168,74,74
"75","Global",2020-04-05,1269432,72003,73569,5167,75,75
"76","Global",2020-04-06,1342653,73221,79516,5948,76,76
"77","Global",2020-04-07,1420404,77751,87740,8224,77,77
"78","Global",2020-04-08,1504582,84178,94501,6761,78,78
"79","Global",2020-04-09,1591027,86445,102277,7776,79,79
"80","Global",2020-04-10,1678480,87453,109662,7385,80,80
"81","Global",2020-04-11,1754660,76180,115903,6272,81,81
"82","Global",2020-04-12,1849988,95349,121712,5809,82,82
"83","Global",2020-04-13,1920165,70177,127628,5916,83,83
"84","Global",2020-04-14,1991463,71298,134598,6972,84,84
"85","Global",2020-04-15,2073480,82017,142949,8351,85,85
"86","Global",2020-04-16,2170289,96809,150247,7298,86,86
"87","Global",2020-04-17,2257968,87679,158612,8365,87,87
"88","Global",2020-04-18,2331452,73485,164635,6023,88,88
"89","Global",2020-04-19,2411438,79986,169897,5262,89,89
"90","Global",2020-04-20,2485935,74497,175755,5858,90,90
"91","Global",2020-04-21,2561817,75882,182940,7185,91,91
"92","Global",2020-04-22,2639848,80219,189671,6731,92,92
"93","Global",2020-04-23,2727872,88024,196509,6838,93,93
"94","Global",2020-04-24,2812244,94406,203172,6663,94,94
"95","Global",2020-04-25,2895673,83429,208809,5637,95,95
"96","Global",2020-04-26,2967618,71946,212748,3939,96,96
"97","Global",2020-04-27,3037336,69718,217421,4673,97,97
"98","Global",2020-04-28,3112780,75549,223968,6547,98,98
"99","Global",2020-04-29,3190239,79971,230702,6734,99,99
"100","Global",2020-04-30,3273618,83379,236698,5996,100,100
"101","Global",2020-05-01,3360845,87227,241847,5155,101,101
"102","Global",2020-05-02,3440835,80157,247325,5478,102,102
"103","Global",2020-05-03,3517357,76522,250797,3472,103,103
"104","Global",2020-05-04,3594437,77081,254896,4099,104,104
"105","Global",2020-05-05,3674878,80441,260783,5887,105,105
"106","Global",2020-05-06,3764781,89903,267326,6543,106,106
"107","Global",2020-05-07,3853776,90578,272618,5292,107,107
"108","Global",2020-05-08,3944884,92588,278098,5480,108,108
"109","Global",2020-05-09,4029807,84923,282385,4287,109,109
