"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"24","Afghanistan",2020-04-29,99,1939,111,60,2,252,24,1627,5,0.3,4.2,34,24
"82","Albania",2020-04-29,99,766,16,30,0,455,24,281,26.6,0.6,9.8,38,33
"180","Algeria",2020-04-29,99,3848,199,444,7,1702,51,1702,8.8,0.5,3.9,40,41
"184","Andorra",2020-04-29,99,743,0,42,1,423,25,278,964.9,0,361,39,30
"276","Angola",2020-04-29,99,27,0,2,0,7,1,18,0.1,0,0.1,0,0
"316","Antigua and Barbuda",2020-04-29,99,24,0,3,0,11,0,10,24.5,0,10.2,0,0
"375","Argentina",2020-04-29,99,4285,158,214,7,1192,30,2879,9.5,0.3,6.4,41,34
"437","Armenia",2020-04-29,99,1932,65,30,0,900,34,1002,65.2,2.2,33.8,42,21
"519","Australia",2020-04-29,99,6752,8,91,2,5715,50,946,26.5,0,3.7,51,35
"548","Austria",2020-04-29,99,15402,45,580,11,12779,199,2043,171,0.5,22.7,53,39
"620","Azerbaijan",2020-04-29,99,1766,49,23,1,1267,46,476,17.4,0.5,4.7,35,20
"719","Bahrain",2020-04-29,99,2921,110,8,0,1455,145,1458,171.6,6.5,85.7,51,0
"766","Bangladesh",2020-04-29,99,7103,641,163,8,150,11,6790,4.3,0.4,4.1,24,24
"819","Barbados",2020-04-29,99,80,0,7,1,39,0,34,27.9,0,11.8,0,0
"851","Belarus",2020-04-29,99,13181,973,84,5,2072,79,11025,139.5,10.3,116.7,31,24
"969","Belgium",2020-04-29,99,47859,525,7501,170,11283,340,29075,412.9,4.5,250.9,55,44
"1000","Belize",2020-04-29,99,18,0,2,0,9,0,7,4.5,0,1.8,0,0
"1022","Benin",2020-04-29,99,64,0,1,0,33,0,30,0.5,0,0.2,0,0
"1107","Bhutan",2020-04-29,99,7,0,0,0,5,0,2,0.9,0,0.3,0,0
"1144","Bolivia",2020-04-29,99,1110,96,59,6,117,19,934,9.5,0.8,8,30,26
"1206","Bosnia and Herzegovina",2020-04-29,99,1677,92,65,2,710,28,902,51.1,2.8,27.5,39,31
"1228","Botswana",2020-04-29,99,23,0,1,0,5,5,17,1,0,0.7,0,0
"1304","Brazil",2020-04-29,99,79685,6450,5513,430,34132,1588,40040,37.5,3,18.8,48,41
"1328","Brunei",2020-04-29,99,138,0,1,0,124,0,13,31.6,0,3,37,0
"1388","Bulgaria",2020-04-29,99,1447,48,64,6,243,21,1140,20.8,0.7,16.4,41,29
"1456","Burkina Faso",2020-04-29,99,641,3,43,1,498,22,100,3.1,0,0.5,37,33
"1503","Burma",2020-04-29,99,150,0,6,1,27,11,117,0.3,0,0.2,11,0
"1516","Burundi",2020-04-29,99,11,0,1,0,4,0,6,0.1,0,0.1,0,0
"1581","Cambodia",2020-04-29,99,122,0,0,0,119,0,3,0.7,0,0,32,0
"1668","Cameroon",2020-04-29,99,1832,127,61,3,934,19,837,6.9,0.5,3.2,32,22
"1781","Canada",2020-04-29,99,52865,1715,3155,172,20327,1096,29383,140.1,4.5,77.9,50,41
"1796","Cape Verde",2020-04-29,99,114,0,1,0,2,0,111,20.5,0,20,4,0
"1857","Central African Republic",2020-04-29,99,50,0,0,0,10,0,40,1,0,0.8,0,0
"1899","Chad",2020-04-29,99,52,0,2,0,19,0,31,0.3,0,0.2,0,0
"1949","Chile",2020-04-29,99,14885,520,216,9,8057,347,6612,77.9,2.7,34.6,45,30
"1997","Colombia",2020-04-29,99,6207,258,278,9,1411,143,4518,12.2,0.5,8.9,42,32
"2029","Costa Rica",2020-04-29,99,713,8,6,0,323,17,384,14,0.2,7.5,40,0
"2093","Cote d'Ivoire",2020-04-29,99,1238,55,14,0,557,32,667,4.7,0.2,2.5,34,9
"2154","Croatia",2020-04-29,99,2062,15,67,4,1288,56,707,50.2,0.4,17.2,42,26
"2236","Cuba",2020-04-29,99,1467,30,58,0,617,42,792,13,0.3,7,33,23
"2252","Cyprus",2020-04-29,99,843,6,15,0,148,0,680,69.8,0.5,56.3,38,24
"2306","Czech Republic",2020-04-29,99,7579,75,227,0,3108,160,4244,70.8,0.7,39.6,48,33
"2369","Democratic Republic of the Congo",2020-04-29,99,491,20,30,0,59,3,402,0.5,0,0.4,29,28
"2414","Denmark",2020-04-29,99,9206,157,443,9,6558,245,2205,158.9,2.7,38.1,51,40
"2528","Diamond Princess Cruise Ship",2020-04-29,99,712,0,13,0,645,0,54,NA,NA,NA,80,37
"2572","Djibouti",2020-04-29,99,1077,5,2,0,599,101,476,109,0.5,48.2,22,0
"2612","Dominica",2020-04-29,99,16,0,0,0,13,0,3,22.2,0,4.2,0,0
"2636","Dominican Republic",2020-04-29,99,6652,236,293,7,1228,63,5131,61.3,2.2,47.3,40,36
"2751","Ecuador",2020-04-29,99,24675,417,883,12,1557,0,22235,139.9,2.4,126,43,39
"2780","Egypt",2020-04-29,99,5268,226,380,21,1335,31,3553,5.1,0.2,3.5,47,40
"2869","El Salvador",2020-04-29,99,377,32,9,1,106,9,262,5.8,0.5,4,21,0
"2889","Equatorial Guinea",2020-04-29,99,315,0,1,0,9,0,305,22.5,0,21.7,6,0
"2923","Eritrea",2020-04-29,99,39,0,0,0,19,0,20,1.1,0,0.6,0,0
"2989","Estonia",2020-04-29,99,1666,6,50,0,236,0,1380,125.5,0.5,104,47,28
"3024","Eswatini",2020-04-29,99,91,20,1,0,10,0,80,7.8,1.7,6.9,0,0
"3089","Ethiopia",2020-04-29,99,130,4,3,0,58,8,69,0.1,0,0.1,12,0
"3151","Fiji",2020-04-29,99,18,0,0,0,12,0,6,2,0,0.7,0,0
"3209","Finland",2020-04-29,99,4906,166,206,7,2800,0,1900,88.5,3,34.3,48,32
"3292","France",2020-04-29,99,166543,0,24121,427,49118,1343,93304,255.1,0,142.9,61,54
"3348","Gabon",2020-04-29,99,276,38,3,0,67,14,206,12.4,1.7,9.3,13,0
"3434","Georgia",2020-04-29,99,517,6,6,0,178,10,333,13,0.2,8.3,31,0
"3552","Germany",2020-04-29,99,161539,1627,6467,153,120400,3000,34672,192.8,1.9,41.4,60,46
"3553","Ghana",2020-04-29,99,1671,0,16,0,188,0,1467,5.4,0,4.7,35,6
"3658","Greece",2020-04-29,99,2576,10,139,1,577,0,1860,24.7,0.1,17.8,48,40
"3665","Grenada",2020-04-29,99,20,1,0,0,13,3,7,17.7,0.9,6.2,0,0
"3709","Guatemala",2020-04-29,99,557,27,16,1,62,13,479,3.1,0.2,2.7,20,7
"3771","Guinea",2020-04-29,99,1351,111,7,0,313,44,1031,10.3,0.8,7.9,26,0
"3798","Guinea-Bissau",2020-04-29,99,205,132,1,0,19,1,185,10.4,6.7,9.4,1,0
